Frame Number, File Size (bytes), File Size (kB)
37, 117421, 114.66, Left
37, 137354, 134.13, Right
56, 129171, 126.14, Left
56, 142028, 138.69, Right
57, 129322, 126.29, Left
57, 137499, 134.27, Right
58, 131132, 128.05, Left
58, 139303, 136.03, Right
59, 142486, 139.14, Left
59, 142291, 138.95, Right
60, 138844, 135.58, Left
60, 146612, 143.17, Right
61, 138276, 135.03, Left
61, 141784, 138.46, Right
62, 139091, 135.83, Left
62, 141244, 137.93, Right
64, 135730, 132.54, Left
64, 139767, 136.49, Right
65, 134439, 131.28, Left
65, 141162, 137.85, Right
66, 132705, 129.59, Left
66, 139354, 136.08, Right
67, 132710, 129.59, Left
67, 135374, 132.20, Right
68, 133646, 130.51, Left
68, 135683, 132.50, Right
69, 135275, 132.10, Left
69, 134844, 131.68, Right
70, 135270, 132.09, Left
70, 137547, 134.32, Right
71, 132973, 129.85, Left
71, 137867, 134.63, Right
76, 131445, 128.36, Left
76, 136713, 133.50, Right
96, 129444, 126.41, Left
96, 135800, 132.61, Right
115, 131684, 128.59, Left
115, 136318, 133.12, Right
116, 132367, 129.26, Left
116, 138237, 134.99, Right
117, 133778, 130.64, Left
117, 139665, 136.39, Right
118, 138269, 135.02, Left
118, 141273, 137.96, Right
119, 139714, 136.43, Left
119, 144701, 141.30, Right
122, 141238, 137.92, Left
122, 144324, 140.94, Right
123, 141589, 138.27, Left
123, 145574, 142.16, Right
128, 144275, 140.89, Left
128, 140656, 137.35, Right
129, 145024, 141.62, Left
129, 140406, 137.11, Right
130, 143084, 139.73, Left
130, 139006, 135.74, Right
149, 131903, 128.81, Left
149, 142978, 139.62, Right
161, 126982, 124.00, Left
161, 133877, 130.73, Right
166, 126665, 123.69, Left
166, 135400, 132.22, Right
170, 124226, 121.31, Left
170, 136191, 132.99, Right
171, 125633, 122.68, Left
171, 136446, 133.24, Right
172, 125570, 122.62, Left
172, 137400, 134.17, Right
173, 120657, 117.82, Left
173, 130398, 127.34, Right
174, 120666, 117.83, Left
174, 129277, 126.24, Right
175, 125986, 123.03, Left
175, 131758, 128.66, Right
176, 132658, 129.54, Left
176, 134390, 131.24, Right
177, 130489, 127.43, Left
177, 131482, 128.40, Right
178, 125580, 122.63, Left
178, 129670, 126.63, Right
179, 123190, 120.30, Left
179, 130698, 127.63, Right
180, 123969, 121.06, Left
180, 126736, 123.76, Right
