Frame Number, File Size (bytes), File Size (kB)
14, 293853, 286.96, Left
14, 324758, 317.14, Right
20, 291252, 284.42, Left
20, 329078, 321.36, Right
26, 289218, 282.43, Left
26, 323772, 316.18, Right
32, 277802, 271.29, Left
32, 311543, 304.24, Right
37, 275364, 268.91, Left
37, 302406, 295.31, Right
42, 267148, 260.88, Left
42, 307610, 300.40, Right
46, 259633, 253.54, Left
46, 301850, 294.77, Right
50, 270349, 264.01, Left
50, 315269, 307.87, Right
55, 275008, 268.56, Left
55, 316459, 309.04, Right
60, 267354, 261.08, Left
60, 302211, 295.12, Right
64, 277127, 270.63, Left
64, 310593, 303.31, Right
67, 263975, 257.78, Left
67, 292301, 285.45, Right
70, 257340, 251.30, Left
70, 290708, 283.89, Right
74, 260599, 254.49, Left
74, 301529, 294.46, Right
78, 269720, 263.39, Left
78, 306700, 299.51, Right
82, 266294, 260.05, Left
82, 302656, 295.56, Right
86, 270580, 264.23, Left
86, 311938, 304.62, Right
90, 268353, 262.06, Left
90, 305544, 298.38, Right
93, 263421, 257.24, Left
93, 301735, 294.66, Right
96, 264386, 258.18, Left
96, 297260, 290.29, Right
100, 257977, 251.93, Left
100, 284380, 277.71, Right
104, 262866, 256.70, Left
104, 295096, 288.17, Right
108, 269741, 263.41, Left
108, 305437, 298.27, Right
111, 250077, 244.21, Left
111, 283002, 276.36, Right
112, 240894, 235.24, Left
112, 266146, 259.90, Right
115, 244554, 238.82, Left
115, 272258, 265.87, Right
118, 244200, 238.47, Left
118, 272537, 266.14, Right
121, 270790, 264.44, Left
121, 301306, 294.24, Right
122, 267559, 261.28, Left
122, 293266, 286.39, Right
123, 254856, 248.88, Left
123, 278877, 272.34, Right
124, 243362, 237.65, Left
124, 267867, 261.58, Right
125, 253576, 247.63, Left
125, 262378, 256.22, Right
126, 234002, 228.51, Left
126, 253913, 247.96, Right
129, 241321, 235.66, Left
129, 270880, 264.53, Right
130, 243306, 237.60, Left
130, 275416, 268.96, Right
131, 240986, 235.33, Left
131, 274555, 268.12, Right
134, 260138, 254.04, Left
134, 292608, 285.75, Right
135, 250488, 244.61, Left
135, 280048, 273.48, Right
136, 246255, 240.48, Left
136, 270780, 264.43, Right
139, 250532, 244.66, Left
139, 277525, 271.02, Right
140, 249337, 243.49, Left
140, 275892, 269.42, Right
143, 258879, 252.81, Left
143, 291061, 284.23, Right
144, 249644, 243.79, Left
144, 278198, 271.67, Right
145, 240976, 235.32, Left
145, 265155, 258.94, Right
146, 242455, 236.77, Left
146, 266569, 260.32, Right
149, 242074, 236.40, Left
149, 277294, 270.79, Right
150, 236841, 231.29, Left
150, 272722, 266.33, Right
151, 238247, 232.66, Left
151, 269335, 263.02, Right
152, 220761, 215.58, Left
152, 240195, 234.56, Right
153, 226771, 221.45, Left
153, 234924, 229.41, Right
154, 225991, 220.69, Left
154, 235997, 230.46, Right
155, 216265, 211.19, Left
155, 228347, 222.99, Right
158, 231903, 226.46, Left
158, 253369, 247.43, Right
161, 250599, 244.72, Left
161, 265845, 259.61, Right
162, 227664, 222.32, Left
162, 242219, 236.54, Right
163, 222960, 217.73, Left
163, 228063, 222.71, Right
167, 240915, 235.26, Left
167, 245723, 239.96, Right
170, 256917, 250.89, Left
170, 259150, 253.07, Right
171, 236410, 230.86, Left
171, 242094, 236.41, Right
175, 277655, 271.14, Left
175, 302203, 295.12, Right
179, 274478, 268.04, Left
179, 299065, 292.05, Right
182, 246931, 241.14, Left
182, 262062, 255.91, Right
183, 257895, 251.85, Left
183, 272974, 266.57, Right
184, 225535, 220.24, Left
184, 240553, 234.91, Right
185, 212378, 207.40, Left
185, 222698, 217.47, Right
