Frame Number, File Size (bytes), File Size (kB)
14, 293853, 286.96, Left
14, 324758, 317.14, Right
20, 291252, 284.42, Left
20, 329078, 321.36, Right
26, 289218, 282.43, Left
26, 323772, 316.18, Right
32, 277802, 271.29, Left
32, 311543, 304.24, Right
37, 275364, 268.91, Left
37, 302406, 295.31, Right
42, 267148, 260.88, Left
42, 307610, 300.40, Right
44, 267544, 261.27, Left
44, 307692, 300.48, Right
45, 267099, 260.83, Left
45, 301510, 294.44, Right
47, 269091, 262.78, Left
47, 311025, 303.73, Right
52, 275210, 268.75, Left
52, 310145, 302.87, Right
57, 272297, 265.91, Left
57, 313643, 306.29, Right
61, 267690, 261.41, Left
61, 308118, 300.89, Right
65, 275978, 269.50, Left
65, 312639, 305.31, Right
66, 265633, 259.40, Left
66, 304223, 297.09, Right
68, 264604, 258.40, Left
68, 299922, 292.89, Right
69, 264538, 258.33, Left
69, 295487, 288.56, Right
70, 257340, 251.30, Left
70, 290708, 283.89, Right
71, 258187, 252.13, Left
71, 288166, 281.41, Right
72, 255330, 249.34, Left
72, 291659, 284.82, Right
76, 272667, 266.27, Left
76, 310369, 303.09, Right
80, 266070, 259.83, Left
80, 298681, 291.68, Right
84, 257865, 251.82, Left
84, 295219, 288.29, Right
88, 264139, 257.94, Left
88, 305248, 298.09, Right
91, 267036, 260.77, Left
91, 306577, 299.39, Right
92, 265409, 259.18, Left
92, 301957, 294.87, Right
93, 263421, 257.24, Left
93, 301735, 294.66, Right
95, 267630, 261.35, Left
95, 303441, 296.32, Right
96, 264386, 258.18, Left
96, 297260, 290.29, Right
97, 252670, 246.74, Left
97, 283713, 277.06, Right
98, 254511, 248.54, Left
98, 276531, 270.04, Right
100, 257977, 251.93, Left
100, 284380, 277.71, Right
104, 262866, 256.70, Left
104, 295096, 288.17, Right
106, 270857, 264.50, Left
106, 303256, 296.14, Right
107, 268761, 262.46, Left
107, 310300, 303.02, Right
108, 269741, 263.41, Left
108, 305437, 298.27, Right
109, 262209, 256.06, Left
109, 298416, 291.42, Right
110, 261306, 255.18, Left
110, 289447, 282.66, Right
111, 250077, 244.21, Left
111, 283002, 276.36, Right
112, 240894, 235.24, Left
112, 266146, 259.90, Right
113, 240162, 234.53, Left
113, 262811, 256.65, Right
114, 245119, 239.37, Left
114, 266115, 259.87, Right
115, 244554, 238.82, Left
115, 272258, 265.87, Right
116, 241439, 235.78, Left
116, 272192, 265.81, Right
117, 239698, 234.08, Left
117, 271274, 264.91, Right
118, 244200, 238.47, Left
118, 272537, 266.14, Right
119, 251465, 245.57, Left
119, 279939, 273.37, Right
120, 259464, 253.38, Left
120, 289484, 282.69, Right
121, 270790, 264.44, Left
121, 301306, 294.24, Right
122, 267559, 261.28, Left
122, 293266, 286.39, Right
123, 254856, 248.88, Left
123, 278877, 272.34, Right
124, 243362, 237.65, Left
124, 267867, 261.58, Right
125, 253576, 247.63, Left
125, 262378, 256.22, Right
126, 234002, 228.51, Left
126, 253913, 247.96, Right
127, 238991, 233.38, Left
127, 262388, 256.23, Right
128, 241865, 236.19, Left
128, 272013, 265.63, Right
129, 241321, 235.66, Left
129, 270880, 264.53, Right
130, 243306, 237.60, Left
130, 275416, 268.96, Right
131, 240986, 235.33, Left
131, 274555, 268.12, Right
132, 249732, 243.87, Left
132, 278901, 272.36, Right
133, 263837, 257.65, Left
133, 296783, 289.82, Right
134, 260138, 254.04, Left
134, 292608, 285.75, Right
135, 250488, 244.61, Left
135, 280048, 273.48, Right
136, 246255, 240.48, Left
136, 270780, 264.43, Right
137, 237053, 231.49, Left
137, 257011, 250.98, Right
138, 254230, 248.27, Left
138, 278633, 272.10, Right
